frame_id,landmark_id,landmark_name,x,y,z,visibility
2,0,NOSE,0.4732734262943268,0.5561262965202332,-0.6094895005226135,0.9999879598617554
2,1,LEFT_EYE_INNER,0.494893342256546,0.48966342210769653,-0.5773484706878662,0.9999665021896362
2,2,LEFT_EYE,0.508361279964447,0.48648473620414734,-0.5772318243980408,0.9999713897705078
2,3,LEFT_EYE_OUTER,0.5206289291381836,0.4833109676837921,-0.5772154331207275,0.999966025352478
2,4,RIGHT_EYE_INNER,0.44949695467948914,0.5016454458236694,-0.5722015500068665,0.9999680519104004
2,5,RIGHT_EYE,0.4355105459690094,0.5057981014251709,-0.5716654062271118,0.999970555305481
2,6,RIGHT_EYE_OUTER,0.42461860179901123,0.5088474750518799,-0.5719228386878967,0.9999685287475586
2,7,LEFT_EAR,0.5457196831703186,0.5009557604789734,-0.34627392888069153,0.999970555305481
2,8,RIGHT_EAR,0.41991814970970154,0.5289196372032166,-0.3094438314437866,0.9999797344207764
2,9,MOUTH_LEFT,0.5052353739738464,0.608285129070282,-0.5190007090568542,0.9999804496765137
2,10,MOUTH_RIGHT,0.45060956478118896,0.6232175827026367,-0.5089178681373596,0.9999840259552002
2,11,LEFT_SHOULDER,0.6825443506240845,0.8208960294723511,-0.20202511548995972,0.9993404746055603
2,12,RIGHT_SHOULDER,0.3303084075450897,0.861955463886261,-0.23332156240940094,0.9994359612464905
2,13,LEFT_ELBOW,0.7705485820770264,1.2504425048828125,-0.1996922343969345,0.16532260179519653
2,14,RIGHT_ELBOW,0.2664879560470581,1.277770757675171,-0.24124938249588013,0.1803542971611023
2,15,LEFT_WRIST,0.7439277172088623,1.5791577100753784,-0.3742748498916626,0.03574798256158829
2,16,RIGHT_WRIST,0.28136125206947327,1.570557951927185,-0.5895132422447205,0.06341199576854706
2,17,LEFT_PINKY,0.7612538933753967,1.6976988315582275,-0.4492131769657135,0.049949441105127335
2,18,RIGHT_PINKY,0.2670673429965973,1.683907151222229,-0.6805124282836914,0.08443186432123184
2,19,LEFT_INDEX,0.7120665311813354,1.6943689584732056,-0.47759756445884705,0.09381064027547836
2,20,RIGHT_INDEX,0.30541467666625977,1.6696096658706665,-0.7360134720802307,0.14444559812545776
2,21,LEFT_THUMB,0.7009302377700806,1.6450307369232178,-0.3982146382331848,0.10174446552991867
2,22,RIGHT_THUMB,0.31715068221092224,1.6256951093673706,-0.6279833316802979,0.14875683188438416
2,23,LEFT_HIP,0.624959409236908,1.5741901397705078,-0.022630704566836357,0.00044037867337465286
2,24,RIGHT_HIP,0.4012039601802826,1.591065764427185,0.027411166578531265,0.00045009455061517656
2,25,LEFT_KNEE,0.6154664754867554,2.157740592956543,0.039405010640621185,8.69176146807149e-05
2,26,RIGHT_KNEE,0.40519964694976807,2.1613454818725586,0.03507916256785393,2.672492337296717e-05
2,27,LEFT_ANKLE,0.6073523163795471,2.6681058406829834,0.5123328566551208,2.1188916434766725e-06
2,28,RIGHT_ANKLE,0.40791961550712585,2.6802263259887695,0.3787039816379547,3.9719876099297835e-07
2,29,LEFT_HEEL,0.6145117282867432,2.7610487937927246,0.5379226207733154,3.11023859467241e-06
2,30,RIGHT_HEEL,0.4089100658893585,2.783411741256714,0.4020942449569702,6.580294780178519e-07
2,31,LEFT_FOOT_INDEX,0.568345844745636,2.860729455947876,0.15981024503707886,6.622893579333322e-06
2,32,RIGHT_FOOT_INDEX,0.4393591582775116,2.8484034538269043,-0.018485357984900475,4.257877662894316e-06
3,0,NOSE,0.47317013144493103,0.5584596395492554,-0.8905797600746155,0.9999809265136719
3,1,LEFT_EYE_INNER,0.4947868883609772,0.4907864034175873,-0.8619934916496277,0.9999468326568604
3,2,LEFT_EYE,0.5083628296852112,0.4873848855495453,-0.8621276617050171,0.9999562501907349
3,3,LEFT_EYE_OUTER,0.5206939578056335,0.4840092360973358,-0.8622503876686096,0.9999443292617798
3,4,RIGHT_EYE_INNER,0.4494929611682892,0.5016539692878723,-0.8565415740013123,0.9999461770057678
3,5,RIGHT_EYE,0.43593236804008484,0.5053111910820007,-0.8561143279075623,0.9999529123306274
3,6,RIGHT_EYE_OUTER,0.4257383644580841,0.5076161026954651,-0.8563646674156189,0.9999451041221619
3,7,LEFT_EAR,0.544694185256958,0.5008693337440491,-0.5879120230674744,0.9999531507492065
3,8,RIGHT_EAR,0.42160239815711975,0.5273973941802979,-0.541589617729187,0.99996417760849
3,9,MOUTH_LEFT,0.5052629113197327,0.6102467775344849,-0.7799745798110962,0.9999739527702332
3,10,MOUTH_RIGHT,0.4507470726966858,0.6237961649894714,-0.7670823335647583,0.999977171421051
3,11,LEFT_SHOULDER,0.682922899723053,0.8213541507720947,-0.3800026774406433,0.9992959499359131
3,12,RIGHT_SHOULDER,0.33143043518066406,0.8616947531700134,-0.36980706453323364,0.9993268847465515
3,13,LEFT_ELBOW,0.7705089449882507,1.2426092624664307,-0.36301231384277344,0.16754597425460815
3,14,RIGHT_ELBOW,0.26761484146118164,1.2783340215682983,-0.27691972255706787,0.18861635029315948
3,15,LEFT_WRIST,0.7534408569335938,1.579506516456604,-0.6317837834358215,0.03642445430159569
3,16,RIGHT_WRIST,0.28087323904037476,1.5780787467956543,-0.5974709987640381,0.06314097344875336
3,17,LEFT_PINKY,0.7696974873542786,1.69825279712677,-0.7294780611991882,0.049286093562841415
3,18,RIGHT_PINKY,0.2659251093864441,1.689389944076538,-0.6923412084579468,0.08121967315673828
3,19,LEFT_INDEX,0.7289587259292603,1.700523853302002,-0.7782684564590454,0.09267089515924454
