frame_id,hand_id,handedness,landmark_id,landmark_name,x,y,z
2,0,Right,0,WRIST,0.5593432784080505,0.9269405603408813,4.335379912845383e-07
2,0,Right,1,THUMB_CMC,0.589494526386261,0.8603872656822205,-0.01732049137353897
2,0,Right,2,THUMB_MCP,0.5854825973510742,0.7805831432342529,-0.027640555053949356
2,0,Right,3,THUMB_IP,0.5627057552337646,0.7197631597518921,-0.032841891050338745
2,0,Right,4,THUMB_TIP,0.5486125946044922,0.6649602055549622,-0.03680569678544998
2,0,Right,5,INDEX_FINGER_MCP,0.533764660358429,0.7779351472854614,-0.03940446302294731
2,0,Right,6,INDEX_FINGER_PIP,0.488810271024704,0.695094108581543,-0.04817955568432808
2,0,Right,7,INDEX_FINGER_DIP,0.47695502638816833,0.6553714871406555,-0.04460211470723152
2,0,Right,8,INDEX_FINGER_TIP,0.4777728021144867,0.6391270756721497,-0.03789689391851425
2,0,Right,9,MIDDLE_FINGER_MCP,0.5058324337005615,0.8145232796669006,-0.03161623328924179
2,0,Right,10,MIDDLE_FINGER_PIP,0.4604156017303467,0.7206107974052429,-0.039776645600795746
2,0,Right,11,MIDDLE_FINGER_DIP,0.4565282464027405,0.6732445955276489,-0.03178955242037773
2,0,Right,12,MIDDLE_FINGER_TIP,0.4639153778553009,0.6518305540084839,-0.02168390154838562
2,0,Right,13,RING_FINGER_MCP,0.4879758954048157,0.845600426197052,-0.023646323010325432
2,0,Right,14,RING_FINGER_PIP,0.44702285528182983,0.7582077383995056,-0.029361918568611145
2,0,Right,15,RING_FINGER_DIP,0.44621092081069946,0.7124754190444946,-0.021844571456313133
2,0,Right,16,RING_FINGER_TIP,0.45430660247802734,0.6894775629043579,-0.013091815635561943
2,0,Right,17,PINKY_MCP,0.47802025079727173,0.8721265196800232,-0.016334479674696922
2,0,Right,18,PINKY_PIP,0.4464714527130127,0.8000346422195435,-0.020575618371367455
2,0,Right,19,PINKY_DIP,0.44342806935310364,0.7598561644554138,-0.016293220221996307
2,0,Right,20,PINKY_TIP,0.44807347655296326,0.7344509363174438,-0.009525028988718987
3,0,Right,0,WRIST,0.5634893774986267,0.9403666257858276,3.5145069432473974e-07
3,0,Right,1,THUMB_CMC,0.5876156091690063,0.8608627915382385,-0.00955288577824831
3,0,Right,2,THUMB_MCP,0.5836817026138306,0.7843552827835083,-0.017865115776658058
3,0,Right,3,THUMB_IP,0.558676540851593,0.7227951288223267,-0.023046014830470085
3,0,Right,4,THUMB_TIP,0.5452383756637573,0.6667605042457581,-0.026764342561364174
3,0,Right,5,INDEX_FINGER_MCP,0.5321810841560364,0.7749540209770203,-0.02818790078163147
3,0,Right,6,INDEX_FINGER_PIP,0.4829164147377014,0.6905919313430786,-0.03467128053307533
3,0,Right,7,INDEX_FINGER_DIP,0.47142961621284485,0.6524180769920349,-0.0306346844881773
3,0,Right,8,INDEX_FINGER_TIP,0.4700714349746704,0.6340585947036743,-0.02437865175306797
3,0,Right,9,MIDDLE_FINGER_MCP,0.5053343176841736,0.8126912713050842,-0.024670058861374855
3,0,Right,10,MIDDLE_FINGER_PIP,0.4603517949581146,0.715782880783081,-0.030883146449923515
3,0,Right,11,MIDDLE_FINGER_DIP,0.45636335015296936,0.6719458103179932,-0.023443516343832016
3,0,Right,12,MIDDLE_FINGER_TIP,0.46236422657966614,0.6500004529953003,-0.014665712602436543
3,0,Right,13,RING_FINGER_MCP,0.48823869228363037,0.8462358713150024,-0.02055129036307335
3,0,Right,14,RING_FINGER_PIP,0.4486919045448303,0.7548932433128357,-0.023326685652136803
3,0,Right,15,RING_FINGER_DIP,0.4463821053504944,0.7088667750358582,-0.014906205236911774
3,0,Right,16,RING_FINGER_TIP,0.45314547419548035,0.6847264766693115,-0.006833574268966913
3,0,Right,17,PINKY_MCP,0.4777396321296692,0.8757606744766235,-0.016786811873316765
3,0,Right,18,PINKY_PIP,0.44413241744041443,0.8050335049629211,-0.017638856545090675
3,0,Right,19,PINKY_DIP,0.4371463656425476,0.762542188167572,-0.012076354585587978
3,0,Right,20,PINKY_TIP,0.43824800848960876,0.7324528098106384,-0.005335268564522266
4,0,Right,0,WRIST,0.5621688961982727,0.9531090259552002,2.724785304053512e-07
4,0,Right,1,THUMB_CMC,0.5850370526313782,0.8647973537445068,0.0013629228342324495
4,0,Right,2,THUMB_MCP,0.582709014415741,0.7835037112236023,-0.0008463078993372619
4,0,Right,3,THUMB_IP,0.5568574070930481,0.7210752367973328,-0.0016185517888516188
4,0,Right,4,THUMB_TIP,0.5408122539520264,0.668880045413971,-0.001506772474385798
4,0,Right,5,INDEX_FINGER_MCP,0.5328157544136047,0.7656797170639038,-0.0138975465670228
4,0,Right,6,INDEX_FINGER_PIP,0.48143988847732544,0.6890692114830017,-0.01523672230541706
4,0,Right,7,INDEX_FINGER_DIP,0.46380090713500977,0.6565612554550171,-0.008811024017632008
4,0,Right,8,INDEX_FINGER_TIP,0.45630955696105957,0.6399820446968079,-0.0014965311856940389
4,0,Right,9,MIDDLE_FINGER_MCP,0.5069112777709961,0.8047423958778381,-0.014176039956510067
4,0,Right,10,MIDDLE_FINGER_PIP,0.4592702090740204,0.7140231132507324,-0.016462644562125206
4,0,Right,11,MIDDLE_FINGER_DIP,0.45108461380004883,0.6754910945892334,-0.007391130551695824
4,0,Right,12,MIDDLE_FINGER_TIP,0.45305532217025757,0.6544561982154846,0.0024186440277844667
4,0,Right,13,RING_FINGER_MCP,0.4895208179950714,0.8425055742263794,-0.01306518167257309
